# ============================================================================
# CANDIDATES, NOT SOURCES. Nothing in this file is crawled.
#
# These 1,037 Teamtailor career-site subdomains were recovered by a research
# pass in a container with no outbound access to job boards, so not one of them
# was probed by this project. docs/adding-a-source.md is explicit that a slug
# nobody has verified must not be registered, and at this project's fan-out a
# dead tenant is not free: it burns a request every crawl, reports as a failing
# source, and enough of them together trip the Source Health workflow's
# 35%-failure alarm, which is the signal that is supposed to mean a real
# platform broke.
#
# 34 slugs from this file's hand-curated head are registered in
# internal/services/teamtailor.go as TeamtailorCompanies. The rest are staged
# here until a CI job — the only place in this project with real network access
# — can probe them. The sections merged by "discovery/merge.py" carry "?" or an
# apply-URL guess where the employer name should be; none of those is
# registered, and they need more scrutiny than the rest, not less.
#
# Promotion rule, gated on content and not on status code: keep a slug whose
# https://<slug>.teamtailor.com/jobs.json answers 200 with a JSON object
# carrying an "items" array of length above zero. A career site that has been
# closed still answers on the apex host, so a status-code check would promote
# empty boards.
#
# The subdomain is used verbatim: it may carry a region label ("foothill.na") or
# an account-id suffix ("cameramatics-1639649453"), and both are part of the
# host.
#
# The verification claims and posting counts below are the upstream curator's,
# dated as annotated. They are recorded as provenance, not endorsed.
# ============================================================================
#
# Teamtailor career-site subdomains to poll (one per line, # = comment).
# The subdomain is the label in a company's career URL, e.g.
#   https://normative.teamtailor.com  -> normative
# It MAY carry a region label (foothill.na) or an account-id suffix
# (cameramatics-1639649453); use the full label verbatim -- it is the
# {label}.teamtailor.com host AND part of the posting id (apply-URL recovery).
# Polled by download/fetch_teamtailor.py via the public /jobs.json JSON Feed
# (no auth); the feed carries the full HTML description (no detail fetch needed).
#
# Harvested via site-scoped web search of *.teamtailor.com job URLs, then
# VERIFIED live against /jobs.json (kept only items>0, 2026-06-09).
andritzdigitalfactory
anyfin
cameramatics-1639649453
combine
foothill.na
funnel
instabee
iqm
mintos
mmd
normative
oneflow
remarkable
technicalequipmentsales
tibber
valsea
virtasant
# --- added 2026-06-09: bulk keyless tenant-discovery pass (live-verified) ---
mwm  # MWM (~7 active)
adessosweden  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
advantagemedicalstaffing-1742913892-simplicare  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
advisensebalticum  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
alipes  # ? (7 live jobs; ~3 in our index) [discovered apply-url]
andaraprofessionals  # ? (6 live jobs; ~3 in our index) [discovered apply-url]
aranya  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
argal  # ? (12 live jobs; ~3 in our index) [discovered apply-url]
aritmaas  # ? (5 live jobs; ~3 in our index) [discovered apply-url]
avantas  # ? (10 live jobs; ~3 in our index) [discovered apply-url]
axianssuomi  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
berteqvarn  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
bryter  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
bunzl  # ? (8 live jobs; ~3 in our index) [discovered apply-url]
burkewilliams  # ? (16 live jobs; ~3 in our index) [discovered apply-url]
cambridge-intelligence  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
cityzmedia  # ? (23 live jobs; ~3 in our index) [discovered apply-url]
coacgmbh-1728891424  # ? (5 live jobs; ~3 in our index) [discovered apply-url]
culligannordicgroup-1739884122  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
dcubed  # ? (8 live jobs; ~3 in our index) [discovered apply-url]
dfdspoland  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
doktor  # ? (50 live jobs; ~3 in our index) [discovered apply-url]
dramaten-1712748851  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
drapenihavet  # ? (2 live jobs; ~3 in our index) [discovered apply-url]
edrone  # ? (7 live jobs; ~3 in our index) [discovered apply-url]
ekium-1706706638  # ? (100 live jobs; ~3 in our index) [discovered apply-url]
enira  # ? (2 live jobs; ~3 in our index) [discovered apply-url]
enora  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
expressprint-1618233852  # ? (7 live jobs; ~3 in our index) [discovered apply-url]
familjelakarna-1727350800  # ? (41 live jobs; ~3 in our index) [discovered apply-url]
flanks  # ? (5 live jobs; ~3 in our index) [discovered apply-url]
getfrankly  # ? (17 live jobs; ~3 in our index) [discovered apply-url]
getskills  # ? (6 live jobs; ~3 in our index) [discovered apply-url]
globeteam-1734338576  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
gmed  # ? (9 live jobs; ~3 in our index) [discovered apply-url]
gmg  # ? (65 live jobs; ~3 in our index) [discovered apply-url]
gnotecsweden  # ? (8 live jobs; ~3 in our index) [discovered apply-url]
grouperhinos-1728048081  # ? (2 live jobs; ~3 in our index) [discovered apply-url]
grupoclave  # ? (100 live jobs; ~3 in our index) [discovered apply-url]
grytsforvaltningab  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
guardab  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
hertility  # ? (2 live jobs; ~3 in our index) [discovered apply-url]
holidayclub  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
homefurnishingnordic  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
huaweiuk  # ? (51 live jobs; ~3 in our index) [discovered apply-url]
humnizenew  # ? (13 live jobs; ~3 in our index) [discovered apply-url]
hyprspace-1708613410  # ? (7 live jobs; ~3 in our index) [discovered apply-url]
ihrb  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
imsm  # ? (13 live jobs; ~3 in our index) [discovered apply-url]
indigoresearch  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
insplan  # ? (2 live jobs; ~3 in our index) [discovered apply-url]
itmtanzanialimited  # ? (100 live jobs; ~3 in our index) [discovered apply-url]
jobtalentfrance  # ? (100 live jobs; ~3 in our index) [discovered apply-url]
jottacloud-amby  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
justergroupab  # ? (39 live jobs; ~3 in our index) [discovered apply-url]
kirkbias  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
kurppahosk  # ? (2 live jobs; ~3 in our index) [discovered apply-url]
kvarterskliniken  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
landauheadhunting  # ? (13 live jobs; ~3 in our index) [discovered apply-url]
macsadventure  # ? (6 live jobs; ~3 in our index) [discovered apply-url]
metricool  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
mioomsorg  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
mks  # ? (8 live jobs; ~3 in our index) [discovered apply-url]
multitempo  # ? (100 live jobs; ~3 in our index) [discovered apply-url]
cashea.na  # ? (43 live jobs; ~3 in our index) [discovered apply-url]
commonsku.na  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
irradianttechnology.na  # ? (2 live jobs; ~3 in our index) [discovered apply-url]
pilothousedigital.na  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
purposeenergy.na  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
revpartners.na  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
norasondegruppen  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
nordkysten  # ? (10 live jobs; ~3 in our index) [discovered apply-url]
novaxia  # ? (9 live jobs; ~3 in our index) [discovered apply-url]
nplan  # ? (7 live jobs; ~3 in our index) [discovered apply-url]
nudiejeans-1624353382  # ? (7 live jobs; ~3 in our index) [discovered apply-url]
omny  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
onemotion  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
opply-1682428990  # ? (9 live jobs; ~3 in our index) [discovered apply-url]
parksterab  # ? (5 live jobs; ~3 in our index) [discovered apply-url]
platform24  # ? (5 live jobs; ~3 in our index) [discovered apply-url]
preferredbynature-1671527207  # ? (8 live jobs; ~3 in our index) [discovered apply-url]
raggededge  # ? (6 live jobs; ~3 in our index) [discovered apply-url]
rentalcaresverige  # ? (11 live jobs; ~3 in our index) [discovered apply-url]
reqcon  # ? (40 live jobs; ~3 in our index) [discovered apply-url]
rightathomecolchesterdistrict  # ? (5 live jobs; ~3 in our index) [discovered apply-url]
root  # ? (6 live jobs; ~3 in our index) [discovered apply-url]
saps  # ? (9 live jobs; ~3 in our index) [discovered apply-url]
skillyou  # ? (9 live jobs; ~3 in our index) [discovered apply-url]
snsf  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
sproud  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
talentify  # ? (7 live jobs; ~3 in our index) [discovered apply-url]
threep  # ? (2 live jobs; ~3 in our index) [discovered apply-url]
timestamp  # ? (17 live jobs; ~3 in our index) [discovered apply-url]
toyotaconnected  # ? (10 live jobs; ~3 in our index) [discovered apply-url]
trinityfiresecuritysystems  # ? (4 live jobs; ~3 in our index) [discovered apply-url]
twodaydenmark  # ? (24 live jobs; ~3 in our index) [discovered apply-url]
twodaygroup  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
uppstuk  # ? (22 live jobs; ~3 in our index) [discovered apply-url]
viskoteepakbelgium  # ? (3 live jobs; ~3 in our index) [discovered apply-url]
vistaverbundfurintegrativesozialeun  # ? (10 live jobs; ~3 in our index) [discovered apply-url]
wiremind-1714146283  # ? (7 live jobs; ~3 in our index) [discovered apply-url]
yogiboost2021  # ? (1 live jobs; ~3 in our index) [discovered apply-url]
zenitech  # ? (9 live jobs; ~3 in our index) [discovered apply-url]
aenergi-glitre-nett  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
africaeuropefoundation  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
aignostics  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
alizesrh  # ? (13 live jobs; ~2 in our index) [discovered apply-url]
altavia  # ? (40 live jobs; ~2 in our index) [discovered apply-url]
anfra  # ? (16 live jobs; ~2 in our index) [discovered apply-url]
antarosmedical  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
aswo  # ? (13 live jobs; ~2 in our index) [discovered apply-url]
autorolanetherlands  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
awaze-die-ferienhaus-agentur  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
b3personal-demo  # ? (23 live jobs; ~2 in our index) [discovered apply-url]
bakertillyahlgren  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
balancedevelopment  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
bandaproperty  # ? (7 live jobs; ~2 in our index) [discovered apply-url]
bergpropulsion  # ? (7 live jobs; ~2 in our index) [discovered apply-url]
blindeforbundet  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
bminehotels  # ? (17 live jobs; ~2 in our index) [discovered apply-url]
brabners  # ? (8 live jobs; ~2 in our index) [discovered apply-url]
bremontwatchcompany-1747397724  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
bromangrouptestijarjestelma-demo  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
capega  # ? (9 live jobs; ~2 in our index) [discovered apply-url]
capiosverigeab  # ? (100 live jobs; ~2 in our index) [discovered apply-url]
carebrookireland  # ? (26 live jobs; ~2 in our index) [discovered apply-url]
carico  # ? (6 live jobs; ~2 in our index) [discovered apply-url]
castalie  # ? (12 live jobs; ~2 in our index) [discovered apply-url]
ciliatech  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
cinnamonsoftware  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
codestone  # ? (8 live jobs; ~2 in our index) [discovered apply-url]
confirmasoftware  # ? (9 live jobs; ~2 in our index) [discovered apply-url]
converge  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
cromologygroup  # ? (64 live jobs; ~2 in our index) [discovered apply-url]
datacom-demo-demo  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
dfdssweden  # ? (10 live jobs; ~2 in our index) [discovered apply-url]
dharma  # ? (14 live jobs; ~2 in our index) [discovered apply-url]
dnapayments  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
doctify  # ? (10 live jobs; ~2 in our index) [discovered apply-url]
dreamongroup  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
eathappyslovakia  # ? (10 live jobs; ~2 in our index) [discovered apply-url]
eidel  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
eriksberg  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
esiea-1748001289  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
essgroup  # ? (28 live jobs; ~2 in our index) [discovered apply-url]
evat  # ? (13 live jobs; ~2 in our index) [discovered apply-url]
finaleanoy-1732875068  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
firi-1744367250  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
flightstory  # ? (19 live jobs; ~2 in our index) [discovered apply-url]
fmcg  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
formulae  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
franskabukten  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
gcoventures  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
globalpartner  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
groupeeolen-1721751826  # ? (49 live jobs; ~2 in our index) [discovered apply-url]
groupevolta  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
gulesider  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
hcsdk8  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
herenco  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
hiddentrail  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
hjartlungfonden-1719911697  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
hmbcon  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
iarsystemssarl  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
ifpc  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
inovarion-1670250444  # ? (13 live jobs; ~2 in our index) [discovered apply-url]
inpac-1740038378  # ? (8 live jobs; ~2 in our index) [discovered apply-url]
irisolaris-1732788318  # ? (49 live jobs; ~2 in our index) [discovered apply-url]
jaumeysere  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
jiliti  # ? (10 live jobs; ~2 in our index) [discovered apply-url]
karanovicpartners  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
kellydeli  # ? (6 live jobs; ~2 in our index) [discovered apply-url]
ketju  # ? (15 live jobs; ~2 in our index) [discovered apply-url]
klara  # ? (16 live jobs; ~2 in our index) [discovered apply-url]
kuokmaritimegroup  # ? (16 live jobs; ~2 in our index) [discovered apply-url]
lajeas  # ? (6 live jobs; ~2 in our index) [discovered apply-url]
larosee  # ? (17 live jobs; ~2 in our index) [discovered apply-url]
leroymerlinromania  # ? (29 live jobs; ~2 in our index) [discovered apply-url]
lhaffarsutveckling  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
lianerh  # ? (80 live jobs; ~2 in our index) [discovered apply-url]
libra  # ? (100 live jobs; ~2 in our index) [discovered apply-url]
lindvallenrestaurangeraktiebolag  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
lineten  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
makeevents-1747990244  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
makivc-1604669713  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
matia  # ? (13 live jobs; ~2 in our index) [discovered apply-url]
mediaplanet  # ? (12 live jobs; ~2 in our index) [discovered apply-url]
medtanken  # ? (19 live jobs; ~2 in our index) [discovered apply-url]
memobank  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
mentorpartner  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
mgroup  # ? (8 live jobs; ~2 in our index) [discovered apply-url]
mobysoft  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
mous-1743693443  # ? (15 live jobs; ~2 in our index) [discovered apply-url]
multisparestruckparts  # ? (12 live jobs; ~2 in our index) [discovered apply-url]
aunamexico.na  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
cargas.na  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
impactbpo.na  # ? (28 live jobs; ~2 in our index) [discovered apply-url]
irsa.na  # ? (15 live jobs; ~2 in our index) [discovered apply-url]
minagroup.na  # ? (35 live jobs; ~2 in our index) [discovered apply-url]
sqdm.na  # ? (75 live jobs; ~2 in our index) [discovered apply-url]
nachhilfeunterricht  # ? (100 live jobs; ~2 in our index) [discovered apply-url]
nested  # ? (100 live jobs; ~2 in our index) [discovered apply-url]
novoviande  # ? (46 live jobs; ~2 in our index) [discovered apply-url]
ocagency  # ? (36 live jobs; ~2 in our index) [discovered apply-url]
officecloud  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
ohmenergie  # ? (6 live jobs; ~2 in our index) [discovered apply-url]
omfjeld-1665829229  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
omsorgassistans  # ? (32 live jobs; ~2 in our index) [discovered apply-url]
omtanken  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
oneractive  # ? (9 live jobs; ~2 in our index) [discovered apply-url]
pensionbeelimited-1750950714  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
photosol  # ? (19 live jobs; ~2 in our index) [discovered apply-url]
proxima  # ? (29 live jobs; ~2 in our index) [discovered apply-url]
purposefulventures-1727780646  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
qocosystems  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
rebelbird  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
redbadgegroup  # ? (12 live jobs; ~2 in our index) [discovered apply-url]
reqruitz  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
resightsaps  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
rettaisannointi  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
royalpharmaceuticalsociety  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
roycedentalgroup  # ? (16 live jobs; ~2 in our index) [discovered apply-url]
rushdigital  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
safely  # ? (12 live jobs; ~2 in our index) [discovered apply-url]
salesjobs  # ? (6 live jobs; ~2 in our index) [discovered apply-url]
seenconnects-1743434611-seen-studios  # ? (7 live jobs; ~2 in our index) [discovered apply-url]
seniorstyrken  # ? (31 live jobs; ~2 in our index) [discovered apply-url]
sharkbemanning  # ? (8 live jobs; ~2 in our index) [discovered apply-url]
sidagroup  # ? (34 live jobs; ~2 in our index) [discovered apply-url]
silae-career  # ? (23 live jobs; ~2 in our index) [discovered apply-url]
sixsensesibiza  # ? (12 live jobs; ~2 in our index) [discovered apply-url]
skagerakconsulting  # ? (24 live jobs; ~2 in our index) [discovered apply-url]
skillaoy  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
skyboundwealthmanagement  # ? (11 live jobs; ~2 in our index) [discovered apply-url]
smartsanteconseil  # ? (89 live jobs; ~2 in our index) [discovered apply-url]
softswiss  # ? (56 live jobs; ~2 in our index) [discovered apply-url]
spottingmeab  # ? (8 live jobs; ~2 in our index) [discovered apply-url]
srsgroup  # ? (7 live jobs; ~2 in our index) [discovered apply-url]
starsuite  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
sts  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
sweetpunk-1672394585  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
synoptikgroupnorway-interoptik  # ? (29 live jobs; ~2 in our index) [discovered apply-url]
talentfix  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
tecnicagroup  # ? (16 live jobs; ~2 in our index) [discovered apply-url]
telenorsharedservices  # ? (27 live jobs; ~2 in our index) [discovered apply-url]
tendios  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
thalamus  # ? (23 live jobs; ~2 in our index) [discovered apply-url]
theindiestone-demo-demo  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
thermaindustrias  # ? (6 live jobs; ~2 in our index) [discovered apply-url]
titry  # ? (6 live jobs; ~2 in our index) [discovered apply-url]
turbinen-1656534952  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
turbotims  # ? (5 live jobs; ~2 in our index) [discovered apply-url]
tutoringjobs  # ? (100 live jobs; ~2 in our index) [discovered apply-url]
unox-amby  # ? (4 live jobs; ~2 in our index) [discovered apply-url]
varicon-1750116570  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
vavato  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
vedecom  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
veloxelectronordics  # ? (22 live jobs; ~2 in our index) [discovered apply-url]
veoneerus  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
viskoteepakmexico  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
werkstasweden  # ? (23 live jobs; ~2 in our index) [discovered apply-url]
weseeq  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
wndyab  # ? (2 live jobs; ~2 in our index) [discovered apply-url]
zotefoams-1734537268  # ? (13 live jobs; ~2 in our index) [discovered apply-url]
zymego  # ? (3 live jobs; ~2 in our index) [discovered apply-url]
audigny  # ? (17 live jobs; ~1 in our index) [discovered apply-url]
ckw  # ? (100 live jobs; ~1 in our index) [discovered apply-url]
# --- discovered via apply-URL harvest, merged 2026-07-04 (discovery/merge.py) ---
celebrus  # ? (1 live jobs; ~15 in our index) [discovered apply-url]
preemab  # ? (1 live jobs; ~10 in our index) [discovered apply-url]
sollentunahem  # ? (1 live jobs; ~9 in our index) [discovered apply-url]
boltinsight  # ? (1 live jobs; ~8 in our index) [discovered apply-url]
chalmersindustriteknik  # ? (1 live jobs; ~6 in our index) [discovered apply-url]
psv  # ? (1 live jobs; ~6 in our index) [discovered apply-url]
wwfverdensnaturfond  # ? (2 live jobs; ~5 in our index) [discovered apply-url]
casambi  # ? (1 live jobs; ~2 in our index) [discovered apply-url]
# --- discovered via apply-URL harvest, merged 2026-07-11 (discovery/merge.py) ---
fipto  # ? (3 live jobs; ~20 in our index) [discovered apply-url]
trattoriagiorgios  # ? (1 live jobs; ~18 in our index) [discovered apply-url]
clovrlabs  # ? (1 live jobs; ~11 in our index) [discovered apply-url]
stbasils  # ? (3 live jobs; ~11 in our index) [discovered apply-url]
territorystudio  # ? (1 live jobs; ~11 in our index) [discovered apply-url]
skagerakenergias  # ? (1 live jobs; ~10 in our index) [discovered apply-url]
southeastriverstrust-1743001843  # ? (2 live jobs; ~10 in our index) [discovered apply-url]
inclue  # ? (6 live jobs; ~9 in our index) [discovered apply-url]
metpark-1710169800  # ? (1 live jobs; ~7 in our index) [discovered apply-url]
theramblers-1651591500  # ? (1 live jobs; ~7 in our index) [discovered apply-url]
fotografiska  # ? (1 live jobs; ~6 in our index) [discovered apply-url]
thelegofoundation  # ? (1 live jobs; ~4 in our index) [discovered apply-url]
